rcp_path,proto_type,rcp_usage,hot_path,rcp_reference,kafka_present_msgs,kafka_value_count,kafka_nondefault_msgs,kafka_types,kafka_sample,pulsar_present_msgs,pulsar_value_count,pulsar_nondefault_msgs,pulsar_types,pulsar_sample,naming_match,type_match,verdict
meta.version,string,mapping,yes,GameStateMetaToMetaConverter.java:37,10,10,10,string×10,"""1.1.92"" | ""1.1.92"" | ""1.1.92""",10,10,10,string×10,"""1.1.92"" | ""1.1.92"" | ""1.1.92""",identical,match,✓ both populated
meta.gameStateId,string,mapping,yes,GameStateMetaToMetaConverter.java:38,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
meta.highWaterMark,int64,business,yes,Ordering / watermark; GameStateMetaToMetaConverter.java:39,10,10,10,number×10,4 | 1 | 2,10,10,10,number×10,1 | 1 | 2,identical,match,✓ both populated
meta.gameStatePreviousId,string,mapping,yes,GameStateMetaToMetaConverter.java:40,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
meta.ingressCorrelationId,string,correlation,yes,GameStateMetaToMetaConverter.java:41,10,10,10,string×10,"""e4b0b25d-86e2-4722-b8a7-8fa0f882bc93"" | ""121a06fc-df49-4413-bf1c-92eb7da87e33"" | ""4e07a30c-06ce-4480-9aa0-ac0647677c9b""",10,10,10,string×10,"""2b6f5245-0b05-423c-bead-c5946aee7898"" | ""798f239d-1d11-461a-8608-8eaeb1f0c2ba"" | ""c8219651-f7b9-42bf-8989-835c6d895082""",identical,match,✓ both populated
meta.ingressCorrelationTimestamp,string (RFC3339),business,yes,Instant.parse(); GameStateToFootballFixtureConverter.java:132-134,10,10,10,string×10,"""2026-05-11T10:11:45.600799864Z"" | ""2026-05-11T10:11:47.011076325Z"" | ""2026-05-11T10:11:47.411460618Z""",10,10,10,string×10,"""2026-05-14T08:06:03.414229Z"" | ""2026-05-14T08:07:15.660193600Z"" | ""2026-05-14T10:42:56.331474100Z""",identical,match,✓ both populated
meta.instructionType,enum,mapping,yes,GameStateMetaToMetaConverter.java:44,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
meta.sport,enum,mapping,yes,GameStateMetaToMetaConverter.java:45,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
meta.headers,"map<string,string>",correlation,yes,getHeadersMap(); EventDrivenMessageListener.java:37,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
meta.feedStatus[].provider,enum (Provider),mapping,yes,GameStateFeedStatusToFeedStatusConverter.java:38,10,10,10,string×10,"""UNKNOWN_PROVIDER"" | ""UNKNOWN_PROVIDER"" | ""UNKNOWN_PROVIDER""",10,10,10,string×10,"""UNKNOWN_PROVIDER"" | ""UNKNOWN_PROVIDER"" | ""UNKNOWN_PROVIDER""",identical,match,✓ both populated
meta.feedStatus[].status,enum (Status),business,yes,GameStateStatusToStatusConverter.java:20,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
meta.feedStatus[].features.supportedIncidentTypes[].soccerIncidentType,enum,filter,yes,Supported incidents allow-list; GameStateToFixtureContextConverter.java:140-141,10,100,10,string×100,"""UNCONFIRMED_SHOT"" | ""SHOT_OFF_TARGET"" | ""SHOT_SAVED""",10,100,10,string×100,"""UNCONFIRMED_SHOT"" | ""SHOT_OFF_TARGET"" | ""SHOT_SAVED""",identical,match,✓ both populated
meta.feedStatus[].features.supportedStatTypes[].soccerStatType,enum,mapping,yes,GameStateFeedFeaturesToFeaturesConverter.java:26,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
fixture.sportsBookId,string,correlation,yes,Kafka key / entity id; EventDrivenMessageListener.java:42,10,10,10,string×10,"""15716908"" | ""15719256"" | ""15717438""",10,10,10,string×10,"""39995603"" | ""39959838"" | ""39996693""",identical,match,✓ both populated
fixture.status,enum,mapping,yes,GameStateToFootballFixtureConverter.java:101,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
fixture.expectedStartTime.seconds,google.protobuf.Timestamp.seconds,mapping,yes,GameStateToFootballFixtureConverter.java:94,10,10,10,string×10,"""1778425200"" | ""1778509800"" | ""1778511600""",10,10,10,string×10,"""1778767200"" | ""1778770800"" | ""1778756400""",identical,match,✓ both populated
fixture.actualStartTime.seconds,google.protobuf.Timestamp.seconds,mapping,yes,GameStateToFootballFixtureConverter.java:78,10,10,10,string×10,"""1778425200"" | ""1778509800"" | ""1778511600""",10,10,10,string×10,"""1778767200"" | ""1778770800"" | ""1778756400""",identical,match,✓ both populated
fixture.expectedEndTime.seconds,google.protobuf.Timestamp.seconds,mapping,yes,GameStateToFootballFixtureConverter.java:86,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
